App;Architecture;Scenario;Interval_ms;Run;Avg_Latency_ms;Min_Latency_ms;Max_Latency_ms;P50_Latency_ms;P95_Latency_ms;P99_Latency_ms;Latency_Samples;Total_Updates;Measured_Duration_ms;CPU_Modal_percent;CPU_Peak_percent;RAM_Peak_MB;Total_Frames_Rendered;Janky_Frames_Count;Janky_Frames_Percent;Frame_P50_ms;Frame_P90_ms;Frame_P95_ms;Frame_P99_ms;Missed_Vsync_Count;Slow_UI_Thread_Count;Slow_Draw_Commands_Count
RN;Legacy;Real-time updates;200;9;65,47;32,18;93,21;66,39;88,48;92,36;299;299;60011;5;6;121,1;381;296;77,69;23;29;32;36;0;126;274
RN;Legacy;Real-time updates;200;10;66,02;32,67;94,01;66,76;89,04;92,88;299;300;60039;4;6;120;381;304;79,79;24;29;33;38;0;113;287
;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;Legacy;Real-time updates;1000;1;118,54;97;138,02;120,3;126,23;138,02;59;60;60081;1;2;119,7;103;67;65,05;25;31;32;32;0;51;54
RN;Legacy;Real-time updates;1000;2;115,17;97,37;125,39;119,56;124,3;125,39;59;60;60084;1;5;124,8;103;58;56,31;21;29;30;31;0;44;33
RN;Legacy;Real-time updates;1000;3;113,29;82,67;126,11;116,32;125,03;126,11;59;60;60067;2;4;111,4;103;69;66,99;25;32;34;36;0;69;61
RN;Legacy;Real-time updates;1000;4;112,81;80,97;126,15;118,23;124,98;126,15;59;60;60098;1;4;117,2;103;60;58,25;21;27;30;32;0;48;31
RN;Legacy;Real-time updates;1000;5;113,46;96,19;123,52;119,08;123,38;123,52;59;60;60105;1;5;117,3;103;59;57,28;20;28;29;32;0;46;28
RN;Legacy;Real-time updates;1000;6;114,62;96,84;127,08;119,41;124,86;127,08;59;60;60092;1;4;118,6;103;61;59,22;22;29;31;32;0;49;39
RN;Legacy;Real-time updates;1000;7;113,74;94,35;125,82;118,67;124,12;125,82;59;60;60076;1;5;116,9;103;56;54,37;21;28;30;32;0;43;34
RN;Legacy;Real-time updates;1000;8;116,08;97,12;136,44;120,05;126,01;136,44;59;60;60088;2;4;121,3;103;64;62,14;24;30;32;34;0;52;48
RN;Legacy;Real-time updates;1000;9;112,95;83,41;126,37;117,86;124,73;126,37;59;60;60102;1;4;115,8;103;60;58,25;21;28;30;32;0;47;32
RN;Legacy;Real-time updates;1000;10;115,43;96,52;132,18;119,72;125,44;132,18;59;60;60095;1;5;119,1;103;68;66,02;24;31;32;36;0;55;53
