App;Architecture;Scenario;Interval_ms;Run;Avg_Latency_ms;Min_Latency_ms;Max_Latency_ms;P50_Latency_ms;P95_Latency_ms;P99_Latency_ms;Latency_Samples;Total_Updates;Measured_Duration_ms;CPU_Modal_percent;CPU_Peak_percent;RAM_Peak_MB;Total_Frames_Rendered;Janky_Frames_Count;Janky_Frames_Percent;Frame_P50_ms;Frame_P90_ms;Frame_P95_ms;Frame_P99_ms;Missed_Vsync_Count;Slow_UI_Thread_Count;Slow_Draw_Commands_Count
Native;Android;Real-time updates;100;4;6,08;0;16;6;11;12;600;600;60000;1;1;128,7;783;0;0;11;11;12;13;0;0;0
Native;Android;Real-time updates;100;5;5,75;1;18;5;10;16;600;600;60000;1;1;128,9;773;0;0;11;11;12;13;0;0;0
Native;Android;Real-time updates;100;6;5,63;1;17;5;10;12;600;600;60000;1;1;128,5;781;0;0;11;12;12;13;0;0;0
Native;Android;Real-time updates;100;7;5,21;0;16;5;10;11;600;600;60000;0;1;128,8;784;0;0;11;12;12;13;0;0;0
Native;Android;Real-time updates;100;8;6,11;1;18;6;11;13;600;600;60000;1;1;128,6;776;0;0;11;11;12;13;0;0;0
Native;Android;Real-time updates;100;9;5,47;0;17;5;10;12;600;600;60000;1;1;128,9;782;0;0;11;12;12;13;0;0;0
Native;Android;Real-time updates;100;10;5,88;1;17;6;10;12;600;600;60000;0;1;128,7;779;0;0;11;11;12;13;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;
Native;Android;Real-time updates;200;1;9,3;1;19;9;17;18;300;300;60000;0;0;135,7;432;0;0;12;13;13;16;0;0;0
Native;Android;Real-time updates;200;2;10,19;1;18;10;17;18;300;300;60002;0;0;134,9;432;0;0;12;13;13;14;0;0;0
Native;Android;Real-time updates;200;3;9,22;1;19;9;17;18;300;300;60000;0;0;135,2;432;0;0;12;13;13;13;0;0;0
Native;Android;Real-time updates;200;4;9,43;1;19;10;17;18;300;300;60000;0;0;135,7;431;0;0;12;13;13;14;0;0;0
Native;Android;Real-time updates;200;5;9,76;1;19;10;18;19;300;300;59999;0;0;134,9;432;0;0;12;13;13;14;0;0;0
Native;Android;Real-time updates;200;6;9,58;1;19;10;17;18;300;300;60000;0;0;135,3;432;0;0;12;13;13;14;0;0;0
Native;Android;Real-time updates;200;7;9,91;1;18;10;17;18;300;300;60001;0;0;135;431;0;0;12;13;13;14;0;0;0
Native;Android;Real-time updates;200;8;9,26;1;19;9;17;18;300;300;60000;0;0;135,6;432;0;0;12;13;13;13;0;0;0
Native;Android;Real-time updates;200;9;10,07;1;19;10;18;19;300;300;59999;0;0;134,8;432;0;0;12;13;13;15;0;0;0
Native;Android;Real-time updates;200;10;9,44;1;18;9;17;18;300;300;60002;0;0;135,4;431;0;0;12;13;13;14;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;
Native;Android;Real-time updates;1000;1;9,33;1;18;8;18;18;60;60;60000;0;0;134,9;157;6;3,82;8;18;19;20;0;5;0
Native;Android;Real-time updates;1000;2;11,37;1;18;14;17;18;60;60;60000;0;0;135,1;157;0;0;9;12;18;19;0;0;0
Native;Android;Real-time updates;1000;3;7,93;2;19;6;17;19;60;60;60000;0;0;134,8;157;1;0,64;8;12;13;14;0;1;0
Native;Android;Real-time updates;1000;4;12,57;1;18;15;18;18;60;60;60000;0;0;136,2;158;5;3,16;9;13;19;20;0;1;1
Native;Android;Real-time updates;1000;5;10,98;1;18;12;17;18;60;60;60000;0;0;135,4;156;2;1,28;9;12;18;20;0;1;0
Native;Android;Real-time updates;1000;6;10,42;1;18;11;17;18;60;60;60000;0;0;135,2;157;3;1,91;9;12;18;19;0;2;0
Native;Android;Real-time updates;1000;7;8,76;1;19;7;18;19;60;60;60000;0;0;134,9;156;1;0,64;8;12;13;14;0;1;0
Native;Android;Real-time updates;1000;8;12,11;1;18;14;18;18;60;60;60000;0;0;135,8;158;5;3,16;9;13;19;20;0;2;1
Native;Android;Real-time updates;1000;9;9,68;2;18;9;17;18;60;60;60000;0;0;135;157;2;1,27;8;12;18;19;0;1;0
Native;Android;Real-time updates;1000;10;11,24;1;19;13;18;19;60;60;60000;0;0;135,5;157;4;2,55;9;13;18;20;0;3;0
